brand_name,year,month,units,gms
ATHER,2026,4,173,25385670.00000000000000
ATHER,2025,7,104,13784225.00000000000000
ATHER,2025,12,416,57612227.00000000000000
AMPERE,2025,4,124,10150624.00000000000000
AMPERE,2024,7,1,59900.00000000000000
KTM,2025,8,280,78891980.66000000000000
KTM,2025,10,258,64924588.20000000000000
KTM,2025,6,35,9726337.00000000000000
KTM,2026,3,180,47409069.00000000000000
KTM,2025,7,153,42612970.66000000000000
KTM,2025,12,93,23914227.08000000000000
KTM,2026,4,78,21251854.00000000000000
KTM,2025,9,449,126993741.30000000000000
KTM,2025,11,81,20290102.08000000000000
KTM,2026,1,147,38419034.40000000000000
KTM,2025,5,8,2454918.00000000000000
AVENGER,2025,8,45,5940227.40000000000000
AVENGER,2025,1,13,1642847.38000000000000
AVENGER,2026,2,39,4695228.00000000000000
AVENGER,2024,11,17,2043662.66000000000000
AVENGER,2024,10,119,14792252.36000000000000
AVENGER,2025,7,43,5302585.60000000000000
AVENGER,2025,3,15,1845140.64000000000000
AVENGER,2025,2,11,1340488.84000000000000
AVENGER,2025,10,139,16152684.04000000000000
AVENGER,2026,3,41,5083345.00000000000000
AVENGER,2026,1,56,6603592.00000000000000
AVENGER,2026,4,28,3552873.00000000000000
AVENGER,2024,8,10,1340433.20000000000000
AVENGER,2024,9,25,3061876.36000000000000
AVENGER,2025,6,31,3890016.40000000000000
AVENGER,2025,12,22,2548357.00000000000000
ROYAL ENFIELD,2026,3,85,16001653.00000000000000
ROYAL ENFIELD,2026,4,69,12918796.00000000000000
ROYAL ENFIELD,2025,11,64,12038832.40000000000000
ROYAL ENFIELD,2025,12,67,12082615.00000000000000
ROYAL ENFIELD,2025,10,73,13383889.00000000000000
CHETAK,2024,11,466,45896077.00000000000000
CHETAK,2024,10,2815,292203990.00000000000000
CHETAK,2026,1,910,104709266.00000000000000
CHETAK,2025,12,525,61884792.00000000000000
CHETAK,2025,3,941,100363292.00000000000000
CHETAK,2026,3,1868,195895977.00000000000000
CHETAK,2026,4,888,96091429.00000000000000
CHETAK,2025,1,1325,142128618.00000000000000
CHETAK,2025,9,835,102925485.16000000000000
CHETAK,2024,8,1229,126699497.00000000000000
CHETAK,2024,5,442,53092106.00000000000000
CHETAK,2024,6,197,22491687.00000000000000
CHETAK,2025,10,1881,222804753.24000000000000
CHETAK,2025,4,487,57432905.00000000000000
CHETAK,2024,7,1378,141360047.00000000000000
VIDA,2024,5,391,51483800.00000000000000
VIDA,2024,9,37,4766290.00000000000000
VIDA,2025,1,36,4355100.00000000000000
VIDA,2025,2,43,5169000.00000000000000
VIDA,2025,4,41,4810500.00000000000000
AMPERE,2025,1,19,1301689.00000000000000
AMPERE,2026,2,108,9103215.28000000000000
AMPERE,2025,3,93,7508641.00000000000000
AMPERE,2025,9,233,19149688.00000000000000
AMPERE,2025,11,10,1053506.33000000000000
AMPERE,2026,4,346,31577304.05000000000000
AMPERE,2025,8,119,10539294.00000000000000
AMPERE,2025,12,196,16885653.55000000000000
AMPERE,2026,3,570,49958645.45000000000000
AMPERE,2025,6,82,6910148.00000000000000
AMPERE,2024,5,6,359400.00000000000000
AMPERE,2024,9,2,144800.00000000000000
AMPERE,2026,1,393,33210507.53000000000000
AMPERE,2025,10,807,66965685.00000000000000
AMPERE,2024,10,9,701600.00000000000000
AMPERE,2025,2,21,1616088.00000000000000
AMPERE,2025,5,139,11087396.00000000000000
AMPERE,2025,7,176,15665753.00000000000000
AMPERE,2024,12,9,614595.00000000000000
AMPERE,2024,11,6,399400.00000000000000
AMPERE,2024,6,6,394400.00000000000000
BAJAJ,2025,3,47,4703003.60000000000000
GREEN,2025,3,200,6165624.04000000000000
GREEN,2025,6,157,4667969.86000000000000
GREEN,2024,8,247,6695310.82000000000000
GREEN,2025,5,403,11177987.19000000000000
GREEN,2024,10,700,19040223.77000000000000
GREEN,2024,6,19,481410.42000000000000
GREEN,2026,4,45,1523762.99000000000000
BAJAJ,2026,4,15,1534857.00000000000000
BAJAJ,2025,11,8,729202.80000000000000
BAJAJ,2025,12,3,274502.00000000000000
CHETAK,2025,11,330,39341122.00000000000000
CHETAK,2025,2,435,49388168.00000000000000
CHETAK,2025,6,327,41751510.00000000000000
CHETAK,2025,7,657,71271829.00000000000000
CHETAK,2025,8,33,3430324.00000000000000
CHETAK,2025,5,537,68996006.00000000000000
CHETAK,2026,2,685,78152316.90000000000000
CHETAK,2024,9,1239,126003238.00000000000000
