S No,Vehicle Category,Month Wise,TOTAL,JAN,FEB,MAR,APR,_year,_state,_scraped_at,MAY,JUN,JUL,AUG,SEP,OCT,NOV
5,LIGHT GOODS VEHICLE,"69,505","60,891","61,325","55,643",827,"2,48,191",2026,All Vahan4 Running States,2026-05-03T14:06:48.973120,,,,,,,
6,LIGHT MOTOR VEHICLE,"6,03,398","4,52,222","4,92,204","4,44,050","8,705","20,00,579",2026,All Vahan4 Running States,2026-05-03T14:06:48.973121,,,,,,,
7,LIGHT PASSENGER VEHICLE,"35,099","39,651","41,787","41,044",562,"1,58,143",2026,All Vahan4 Running States,2026-05-03T14:06:48.973122,,,,,,,
8,MEDIUM GOODS VEHICLE,"5,861","5,872","5,715","5,700",61,"23,209",2026,All Vahan4 Running States,2026-05-03T14:06:48.973123,,,,,,,
9,MEDIUM MOTOR VEHICLE,730,732,700,622,13,"2,797",2026,All Vahan4 Running States,2026-05-03T14:06:48.973124,,,,,,,
10,MEDIUM PASSENGER VEHICLE,"1,805","2,271","2,648","3,463",50,"10,237",2026,All Vahan4 Running States,2026-05-03T14:06:48.973127,,,,,,,
11,OTHER THAN MENTIONED ABOVE,"8,457","8,628","8,887","7,146",190,"33,308",2026,All Vahan4 Running States,2026-05-03T14:06:48.973128,,,,,,,
12,THREE WHEELER(NT),125,107,118,112,0,462,2026,All Vahan4 Running States,2026-05-03T14:06:48.973129,,,,,,,
13,THREE WHEELER(T),"1,27,012","1,17,055","1,09,682","1,06,796","2,053","4,62,598",2026,All Vahan4 Running States,2026-05-03T14:06:48.973136,,,,,,,
14,TWO WHEELER (INVALID CARRIAGE),"2,609","5,326","1,918","1,195",1,"11,049",2026,All Vahan4 Running States,2026-05-03T14:06:48.973137,,,,,,,
15,TWO WHEELER(NT),"18,58,476","17,08,003","19,58,175","19,12,776","43,397","74,80,827",2026,All Vahan4 Running States,2026-05-03T14:06:48.973138,,,,,,,
16,TWO WHEELER(T),"2,329","2,378","2,702","3,483",29,"10,921",2026,All Vahan4 Running States,2026-05-03T14:06:48.973139,,,,,,,
1,FOUR WHEELER (INVALID CARRIAGE),333,233,270,262,319,249,2025,All Vahan4 Running States,2026-05-03T14:12:08.566442,290,290,228,238,331,296,"3,339"
2,HEAVY GOODS VEHICLE,"26,847","23,680","26,054","28,447","21,461","18,749",2025,All Vahan4 Running States,2026-05-03T14:12:08.566461,"20,100","18,640","18,797","25,156","26,553","25,160","2,79,644"
3,HEAVY MOTOR VEHICLE,487,292,415,363,403,582,2025,All Vahan4 Running States,2026-05-03T14:12:08.566467,209,186,174,231,205,215,"3,762"
4,HEAVY PASSENGER VEHICLE,"3,179","2,410","3,381","3,175","3,282","3,079",2025,All Vahan4 Running States,2026-05-03T14:12:08.566471,"3,318","4,229","3,004","2,799","2,277","2,923","37,056"
5,LIGHT GOODS VEHICLE,"59,515","47,614","53,287","45,568","45,026","45,426",2025,All Vahan4 Running States,2026-05-03T14:12:08.566474,"46,979","47,162","45,484","76,961","61,804","53,480","6,28,306"
6,LIGHT MOTOR VEHICLE,"5,33,435","3,49,066","4,00,780","3,92,164","3,53,890","3,54,018",2025,All Vahan4 Running States,2026-05-03T14:12:08.566477,"3,89,430","3,85,264","3,49,864","6,05,908","4,98,129","4,71,359","50,83,307"
7,LIGHT PASSENGER VEHICLE,"39,129","28,494","32,266","35,459","31,427","31,507",2025,All Vahan4 Running States,2026-05-03T14:12:08.566480,"36,668","34,282","27,253","41,762","32,658","29,218","4,00,123"
8,MEDIUM GOODS VEHICLE,"4,111","3,380","3,739","3,961","3,275","3,012",2025,All Vahan4 Running States,2026-05-03T14:12:08.566483,"3,396","3,414","3,830","5,149","5,035","4,373","46,675"
9,MEDIUM MOTOR VEHICLE,984,796,"1,096",860,712,915,2025,All Vahan4 Running States,2026-05-03T14:12:08.566485,466,520,756,904,"1,023",893,"9,925"
10,MEDIUM PASSENGER VEHICLE,"2,365","2,415","2,888","3,252","3,630","4,477",2025,All Vahan4 Running States,2026-05-03T14:12:08.566488,"4,183","3,668","2,497","2,148","2,246","2,055","35,824"
11,OTHER THAN MENTIONED ABOVE,"9,138","7,942","9,551","7,080","6,639","8,605",2025,All Vahan4 Running States,2026-05-03T14:12:08.566490,"4,165","4,755","5,880","6,934","6,862","7,210","84,761"
12,THREE WHEELER (INVALID CARRIAGE),0,0,2,0,1,1,2025,All Vahan4 Running States,2026-05-03T14:12:08.566493,1,1,3,0,50,0,59
13,THREE WHEELER(NT),87,70,89,142,136,94,2025,All Vahan4 Running States,2026-05-03T14:12:08.566495,93,127,138,244,147,113,"1,480"
14,THREE WHEELER(T),"1,06,930","94,087","99,234","99,597","1,04,295","1,00,428",2025,All Vahan4 Running States,2026-05-03T14:12:08.566498,"1,11,299","1,02,959","98,739","1,29,272","1,33,799","1,27,675","13,08,314"
15,TWO WHEELER (INVALID CARRIAGE),"1,651","2,666","6,313","1,773","1,628",893,2025,All Vahan4 Running States,2026-05-03T14:12:08.566500,"1,018",707,"1,035",799,"1,843","4,140","24,466"
16,TWO WHEELER(NT),"15,32,050","13,59,265","15,14,536","16,94,273","16,58,583","14,51,565",2025,All Vahan4 Running States,2026-05-03T14:12:08.566502,"13,60,218","13,79,298","12,94,656","31,66,660","25,56,956","13,21,925","2,02,89,985"
17,TWO WHEELER(T),"1,510",881,"1,597","1,338","1,626","1,716",2025,All Vahan4 Running States,2026-05-03T14:12:08.566504,"1,500","1,854","2,236","1,974","2,101","2,390","20,723"
1,FOUR WHEELER (INVALID CARRIAGE),304,253,232,283,4,"1,076",2026,All Vahan4 Running States,2026-05-03T14:13:09.251602,,,,,,,
2,HEAVY GOODS VEHICLE,"32,221","32,310","32,388","31,986",505,"1,29,410",2026,All Vahan4 Running States,2026-05-03T14:13:09.251611,,,,,,,
3,HEAVY MOTOR VEHICLE,216,336,226,240,5,"1,023",2026,All Vahan4 Running States,2026-05-03T14:13:09.251612,,,,,,,
4,HEAVY PASSENGER VEHICLE,"2,121","3,135","2,702","2,309",87,"10,354",2026,All Vahan4 Running States,2026-05-03T14:13:09.251613,,,,,,,
5,LIGHT GOODS VEHICLE,"69,505","60,891","61,325","55,643",827,"2,48,191",2026,All Vahan4 Running States,2026-05-03T14:13:09.251614,,,,,,,
6,LIGHT MOTOR VEHICLE,"6,03,398","4,52,222","4,92,204","4,44,050","8,705","20,00,579",2026,All Vahan4 Running States,2026-05-03T14:13:09.251615,,,,,,,
7,LIGHT PASSENGER VEHICLE,"35,099","39,651","41,787","41,044",562,"1,58,143",2026,All Vahan4 Running States,2026-05-03T14:13:09.251616,,,,,,,
8,MEDIUM GOODS VEHICLE,"5,861","5,872","5,715","5,700",61,"23,209",2026,All Vahan4 Running States,2026-05-03T14:13:09.251616,,,,,,,
9,MEDIUM MOTOR VEHICLE,730,732,700,622,13,"2,797",2026,All Vahan4 Running States,2026-05-03T14:13:09.251617,,,,,,,
10,MEDIUM PASSENGER VEHICLE,"1,805","2,271","2,648","3,463",50,"10,237",2026,All Vahan4 Running States,2026-05-03T14:13:09.251619,,,,,,,
11,OTHER THAN MENTIONED ABOVE,"8,457","8,628","8,887","7,146",190,"33,308",2026,All Vahan4 Running States,2026-05-03T14:13:09.251619,,,,,,,
12,THREE WHEELER(NT),125,107,118,112,0,462,2026,All Vahan4 Running States,2026-05-03T14:13:09.251620,,,,,,,
13,THREE WHEELER(T),"1,27,012","1,17,055","1,09,682","1,06,796","2,053","4,62,598",2026,All Vahan4 Running States,2026-05-03T14:13:09.251621,,,,,,,
14,TWO WHEELER (INVALID CARRIAGE),"2,609","5,326","1,918","1,195",1,"11,049",2026,All Vahan4 Running States,2026-05-03T14:13:09.251629,,,,,,,
15,TWO WHEELER(NT),"18,58,476","17,08,003","19,58,175","19,12,776","43,397","74,80,827",2026,All Vahan4 Running States,2026-05-03T14:13:09.251630,,,,,,,
16,TWO WHEELER(T),"2,329","2,378","2,702","3,483",29,"10,921",2026,All Vahan4 Running States,2026-05-03T14:13:09.251630,,,,,,,
